N,c1,c2,c3,liar_caught
21,1,2,3,true
21,2,3,4,true
21,3,4,5,true
21,4,5,6,true
21,5,6,1,true
21,6,1,2,true
22,1,2,3,true
22,2,3,4,true
22,3,4,5,true
22,4,5,7,true
22,5,7,1,true
22,7,1,2,true
23,1,2,3,true
23,2,3,4,true
23,3,4,6,true
23,4,6,7,true
23,6,7,1,true
23,7,1,2,true
23,1,2,3,true
23,2,3,4,true
23,3,4,5,true
23,4,5,8,true
23,5,8,1,true
23,8,1,2,true
24,1,2,3,true
24,2,3,5,true
24,3,5,6,true
24,5,6,7,true
24,6,7,1,true
24,7,1,2,true
24,1,2,3,true
24,2,3,4,true
24,3,4,6,true
24,4,6,8,true
24,6,8,1,true
24,8,1,2,true
24,1,2,3,true
24,2,3,4,true
24,3,4,5,true
24,4,5,9,true
24,5,9,1,true
24,9,1,2,true
25,1,2,4,true
25,2,4,5,true
25,4,5,6,true
25,5,6,7,true
25,6,7,1,true
25,7,1,2,true
25,1,2,3,true
25,2,3,5,true
25,3,5,6,true
25,5,6,8,true
25,6,8,1,true
25,8,1,2,true
25,1,2,3,true
25,2,3,4,true
25,3,4,7,true
25,4,7,8,true
25,7,8,1,true
25,8,1,2,true
25,1,2,3,true
25,2,3,4,true
25,3,4,6,true
25,4,6,9,true
25,6,9,1,true
25,9,1,2,true
25,1,2,3,true
25,2,3,4,true
25,3,4,5,true
25,4,5,10,true
25,5,10,1,true
25,10,1,2,true
