N,c1,c2,liar_caught
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,4,6,true
10,6,4,true
10,4,6,true
10,6,4,true
10,4,6,true
10,6,4,true
10,4,6,true
10,6,4,true
10,4,6,true
10,6,4,true
10,4,6,true
10,6,4,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,3,7,true
10,7,3,false
10,3,7,true
10,7,3,false
10,3,7,true
10,7,3,false
10,3,7,true
10,7,3,false
10,3,7,true
10,7,3,false
10,3,7,true
10,7,3,false
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,2,8,false
10,8,2,false
10,2,8,false
10,8,2,false
10,2,8,false
10,8,2,false
10,2,8,false
10,8,2,false
10,2,8,false
10,8,2,false
10,2,8,false
10,8,2,false
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,1,9,false
10,9,1,false
10,1,9,false
10,9,1,false
10,1,9,false
10,9,1,false
10,1,9,false
10,9,1,false
10,1,9,false
10,9,1,false
10,1,9,false
10,9,1,false
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
10,5,5,true
11,5,6,true
11,6,5,true
11,5,6,true
11,6,5,true
11,5,6,true
11,6,5,true
11,5,6,true
11,6,5,true
11,5,6,true
11,6,5,true
11,5,6,true
11,6,5,true
11,4,7,true
11,7,4,true
11,4,7,true
11,7,4,true
11,4,7,true
11,7,4,true
11,4,7,true
11,7,4,true
11,4,7,true
11,7,4,true
11,4,7,true
11,7,4,true
11,3,8,true
11,8,3,false
11,3,8,true
11,8,3,false
11,3,8,true
11,8,3,false
11,3,8,true
11,8,3,false
11,3,8,true
11,8,3,false
11,3,8,true
11,8,3,false
11,2,9,false
11,9,2,false
11,2,9,false
11,9,2,false
11,2,9,false
11,9,2,false
11,2,9,false
11,9,2,false
11,2,9,false
11,9,2,false
11,2,9,false
11,9,2,false
11,1,10,false
11,10,1,false
11,1,10,false
11,10,1,false
11,1,10,false
11,10,1,false
11,1,10,false
11,10,1,false
11,1,10,false
11,10,1,false
11,1,10,false
11,10,1,false
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,5,7,true
12,7,5,true
12,5,7,true
12,7,5,true
12,5,7,true
12,7,5,true
12,5,7,true
12,7,5,true
12,5,7,true
12,7,5,true
12,5,7,true
12,7,5,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,4,8,true
12,8,4,false
12,4,8,true
12,8,4,false
12,4,8,true
12,8,4,false
12,4,8,true
12,8,4,false
12,4,8,true
12,8,4,false
12,4,8,true
12,8,4,false
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,3,9,true
12,9,3,false
12,3,9,true
12,9,3,false
12,3,9,true
12,9,3,false
12,3,9,true
12,9,3,false
12,3,9,true
12,9,3,false
12,3,9,true
12,9,3,false
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,2,10,false
12,10,2,false
12,2,10,false
12,10,2,false
12,2,10,false
12,10,2,false
12,2,10,false
12,10,2,false
12,2,10,false
12,10,2,false
12,2,10,false
12,10,2,false
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,1,11,false
12,11,1,false
12,1,11,false
12,11,1,false
12,1,11,false
12,11,1,false
12,1,11,false
12,11,1,false
12,1,11,false
12,11,1,false
12,1,11,false
12,11,1,false
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
12,6,6,true
13,6,7,true
13,7,6,true
13,6,7,true
13,7,6,true
13,6,7,true
13,7,6,true
13,6,7,true
13,7,6,true
13,6,7,true
13,7,6,true
13,6,7,true
13,7,6,true
13,5,8,true
13,8,5,true
13,5,8,true
13,8,5,true
13,5,8,true
13,8,5,true
13,5,8,true
13,8,5,true
13,5,8,true
13,8,5,true
13,5,8,true
13,8,5,true
13,4,9,true
13,9,4,false
13,4,9,true
13,9,4,false
13,4,9,true
13,9,4,false
13,4,9,true
13,9,4,false
13,4,9,true
13,9,4,false
13,4,9,true
13,9,4,false
13,3,10,true
13,10,3,false
13,3,10,true
13,10,3,false
13,3,10,true
13,10,3,false
13,3,10,true
13,10,3,false
13,3,10,true
13,10,3,false
13,3,10,true
13,10,3,false
13,2,11,false
13,11,2,false
13,2,11,false
13,11,2,false
13,2,11,false
13,11,2,false
13,2,11,false
13,11,2,false
13,2,11,false
13,11,2,false
13,2,11,false
13,11,2,false
13,1,12,false
13,12,1,false
13,1,12,false
13,12,1,false
13,1,12,false
13,12,1,false
13,1,12,false
13,12,1,false
13,1,12,false
13,12,1,false
13,1,12,false
13,12,1,false
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,6,8,true
14,8,6,true
14,6,8,true
14,8,6,true
14,6,8,true
14,8,6,true
14,6,8,true
14,8,6,true
14,6,8,true
14,8,6,true
14,6,8,true
14,8,6,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,5,9,true
14,9,5,true
14,5,9,true
14,9,5,true
14,5,9,true
14,9,5,true
14,5,9,true
14,9,5,true
14,5,9,true
14,9,5,true
14,5,9,true
14,9,5,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,4,10,true
14,10,4,false
14,4,10,true
14,10,4,false
14,4,10,true
14,10,4,false
14,4,10,true
14,10,4,false
14,4,10,true
14,10,4,false
14,4,10,true
14,10,4,false
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,3,11,true
14,11,3,false
14,3,11,true
14,11,3,false
14,3,11,true
14,11,3,false
14,3,11,true
14,11,3,false
14,3,11,true
14,11,3,false
14,3,11,true
14,11,3,false
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,2,12,false
14,12,2,false
14,2,12,false
14,12,2,false
14,2,12,false
14,12,2,false
14,2,12,false
14,12,2,false
