N,c1,c2,c3,liar_caught
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,4,3,4,false
11,4,3,4,false
11,3,4,4,false
11,4,4,3,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,3,3,5,false
11,3,5,3,false
11,5,3,3,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,3,3,5,false
11,3,5,3,false
11,5,3,3,false
11,3,3,5,false
11,3,5,3,false
11,5,3,3,false
11,3,3,5,false
11,3,5,3,false
11,5,3,3,false
11,3,3,5,false
11,3,5,3,false
11,5,3,3,false
11,3,3,5,false
11,3,5,3,false
11,5,3,3,false
11,3,3,5,false
11,3,5,3,false
11,5,3,3,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,3,3,5,false
11,3,5,3,false
11,5,3,3,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,1,5,5,false
11,5,5,1,false
11,5,1,5,false
11,3,3,5,false
11,3,5,3,false
11,5,3,3,false
11,3,3,5,false
11,3,5,3,false
11,5,3,3,false
11,3,3,5,false
11,3,5,3,false
11,5,3,3,false
11,3,3,5,false
11,3,5,3,false
11,5,3,3,false
