N,c1,c2,liar_caught
13,6,7,true
13,7,6,true
13,6,7,true
13,7,6,true
13,6,7,true
13,7,6,true
13,6,7,true
13,7,6,true
13,6,7,true
13,7,6,true
13,6,7,true
13,7,6,true
13,5,8,false
13,8,5,true
13,5,8,false
13,8,5,true
13,5,8,false
13,8,5,true
13,5,8,false
13,8,5,true
13,5,8,false
13,8,5,true
13,5,8,false
13,8,5,true
13,4,9,false
13,9,4,true
13,4,9,false
13,9,4,true
13,4,9,false
13,9,4,true
13,4,9,false
13,9,4,true
13,4,9,false
13,9,4,true
13,4,9,false
13,9,4,true
13,3,10,false
13,10,3,true
13,3,10,false
13,10,3,true
13,3,10,false
13,10,3,true
13,3,10,false
13,10,3,true
13,3,10,false
13,10,3,true
13,3,10,false
13,10,3,true
13,2,11,false
13,11,2,true
13,2,11,false
13,11,2,true
13,2,11,false
13,11,2,true
13,2,11,false
13,11,2,true
13,2,11,false
13,11,2,true
13,2,11,false
13,11,2,true
13,1,12,false
13,12,1,false
13,1,12,false
13,12,1,false
13,1,12,false
13,12,1,false
13,1,12,false
13,12,1,false
13,1,12,false
13,12,1,false
13,1,12,false
13,12,1,false
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,6,8,false
14,8,6,true
14,6,8,false
14,8,6,true
14,6,8,false
14,8,6,true
14,6,8,false
14,8,6,true
14,6,8,false
14,8,6,true
14,6,8,false
14,8,6,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,5,9,false
14,9,5,true
14,5,9,false
14,9,5,true
14,5,9,false
14,9,5,true
14,5,9,false
14,9,5,true
14,5,9,false
14,9,5,true
14,5,9,false
14,9,5,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,4,10,false
14,10,4,true
14,4,10,false
14,10,4,true
14,4,10,false
14,10,4,true
14,4,10,false
14,10,4,true
14,4,10,false
14,10,4,true
14,4,10,false
14,10,4,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,3,11,false
14,11,3,true
14,3,11,false
14,11,3,true
14,3,11,false
14,11,3,true
14,3,11,false
14,11,3,true
14,3,11,false
14,11,3,true
14,3,11,false
14,11,3,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,2,12,false
14,12,2,false
14,2,12,false
14,12,2,false
14,2,12,false
14,12,2,false
14,2,12,false
14,12,2,false
14,2,12,false
14,12,2,false
14,2,12,false
14,12,2,false
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,7,7,true
14,1,13,false
14,13,1,false
14,1,13,false
14,13,1,false
14,1,13,false
